=== RUN   TestZZReverseRoles
KindPrefixUnaryExpression Initializer: 9659
KindPrefixUnaryExpression Text: 9659
KindPrivateIdentifier Expression: 1305
KindPrivateIdentifier Initializer: 1305
KindPrivateKeyword Expression: 1847
KindPrivateKeyword Initializer: 1847
KindPrivateKeyword Text: 1847
KindPropertyAccessExpression Initializer: 101395
KindPropertyAccessExpression Text: 101395
KindPropertyAssignment Expression: 31587
KindPropertyAssignment Text: 31587
KindPropertyDeclaration Expression: 7097
KindPropertyDeclaration Text: 7097
KindPropertySignature Expression: 29114
KindPropertySignature Text: 29114
KindProtectedKeyword Expression: 366
KindProtectedKeyword Initializer: 366
KindProtectedKeyword Text: 366
KindPublicKeyword Expression: 3231
KindPublicKeyword Initializer: 3231
KindPublicKeyword Text: 3231
KindQualifiedName Expression: 7485
KindQualifiedName Initializer: 7485
KindQualifiedName Text: 7485
KindQuestionDotToken Expression: 1540
KindQuestionDotToken Initializer: 1540
KindQuestionDotToken Text: 1540
KindQuestionQuestionEqualsToken Expression: 205
KindQuestionQuestionEqualsToken Initializer: 205
KindQuestionQuestionEqualsToken Text: 205
KindQuestionQuestionToken Expression: 481
KindQuestionQuestionToken Initializer: 481
KindQuestionQuestionToken Text: 481
KindQuestionToken Expression: 15807
KindQuestionToken Initializer: 15807
KindQuestionToken Text: 15807
KindReadonlyKeyword Expression: 5366
KindReadonlyKeyword Initializer: 5366
KindReadonlyKeyword Text: 5366
KindRegularExpressionLiteral Expression: 431
KindRegularExpressionLiteral Initializer: 431
KindRestType Expression: 428
KindRestType Initializer: 428
KindRestType Text: 428
KindReturnStatement Initializer: 26786
KindReturnStatement Text: 26786
KindSatisfiesExpression Initializer: 176
KindSatisfiesExpression Text: 176
KindSemicolonClassElement Expression: 59
KindSemicolonClassElement Initializer: 59
KindSemicolonClassElement Text: 59
KindSetAccessor Expression: 1056
KindSetAccessor Initializer: 1056
KindSetAccessor Text: 1056
KindShorthandPropertyAssignment Expression: 2326
KindShorthandPropertyAssignment Initializer: 2326
KindShorthandPropertyAssignment Text: 2326
KindSlashEqualsToken Expression: 27
KindSlashEqualsToken Initializer: 27
KindSlashEqualsToken Text: 27
KindSlashToken Expression: 248
KindSlashToken Initializer: 248
KindSlashToken Text: 248
KindSourceFile Expression: 17415
KindSourceFile Initializer: 17415
KindSourceFile Text: 17415
KindSpreadAssignment Initializer: 596
KindSpreadAssignment Text: 596
KindSpreadElement Initializer: 1026
KindSpreadElement Text: 1026
KindStaticKeyword Expression: 3046
KindStaticKeyword Initializer: 3046
KindStaticKeyword Text: 3046
KindStringKeyword Expression: 22278
KindStringKeyword Initializer: 22278
KindStringKeyword Text: 22278
KindStringLiteral Expression: 77874
KindStringLiteral Initializer: 77874
KindSuperKeyword Expression: 1240
KindSuperKeyword Initializer: 1240
KindSuperKeyword Text: 1240
KindSwitchStatement Initializer: 964
KindSwitchStatement Text: 964
KindSymbolKeyword Expression: 312
KindSymbolKeyword Initializer: 312
KindSymbolKeyword Text: 312
KindTaggedTemplateExpression Expression: 462
KindTaggedTemplateExpression Initializer: 462
KindTaggedTemplateExpression Text: 462
KindTemplateExpression Expression: 1626
KindTemplateExpression Initializer: 1626
KindTemplateExpression Text: 1626
KindTemplateHead Expression: 2098
KindTemplateHead Initializer: 2098
KindTemplateLiteralType Expression: 472
KindTemplateLiteralType Initializer: 472
KindTemplateLiteralType Text: 472
KindTemplateLiteralTypeSpan Expression: 682
KindTemplateLiteralTypeSpan Initializer: 682
KindTemplateLiteralTypeSpan Text: 682
KindTemplateMiddle Expression: 992
KindTemplateMiddle Initializer: 992
KindTemplateSpan Initializer: 2408
KindTemplateSpan Text: 2408
KindTemplateTail Expression: 2098
KindTemplateTail Initializer: 2098
KindThisKeyword Expression: 6335
KindThisKeyword Initializer: 6335
KindThisKeyword Text: 6335
KindThisType Expression: 492
KindThisType Initializer: 492
KindThisType Text: 492
KindThrowStatement Initializer: 350
KindThrowStatement Text: 350
KindTrueKeyword Expression: 5444
KindTrueKeyword Initializer: 5444
KindTrueKeyword Text: 5444
KindTryStatement Expression: 317
KindTryStatement Initializer: 317
KindTryStatement Text: 317
KindTupleType Expression: 1920
KindTupleType Initializer: 1920
KindTupleType Text: 1920
KindTypeAliasDeclaration Expression: 6142
KindTypeAliasDeclaration Initializer: 6142
KindTypeAliasDeclaration Text: 6142
KindTypeAssertionExpression Initializer: 922
KindTypeAssertionExpression Text: 922
KindTypeLiteral Expression: 10492
KindTypeLiteral Initializer: 10492
KindTypeLiteral Text: 10492
KindTypeOfExpression Initializer: 1106
KindTypeOfExpression Text: 1106
KindTypeOperator Expression: 4069
KindTypeOperator Initializer: 4069
KindTypeOperator Text: 4069
KindTypeParameter Expression: 16589
KindTypeParameter Initializer: 16589
KindTypeParameter Text: 16589
KindTypePredicate Expression: 1106
KindTypePredicate Initializer: 1106
KindTypePredicate Text: 1106
KindTypeQuery Expression: 2183
KindTypeQuery Initializer: 2183
KindTypeQuery Text: 2183
KindTypeReference Expression: 115998
KindTypeReference Initializer: 115998
KindTypeReference Text: 115998
KindUndefinedKeyword Expression: 6502
KindUndefinedKeyword Initializer: 6502
KindUndefinedKeyword Text: 6502
KindUnionType Expression: 14536
KindUnionType Initializer: 14536
KindUnionType Text: 14536
KindUnknownKeyword Expression: 1093
KindUnknownKeyword Initializer: 1093
KindUnknownKeyword Text: 1093
KindVariableDeclaration Expression: 64873
KindVariableDeclaration Text: 64873
KindVariableDeclarationList Expression: 63677
KindVariableDeclarationList Initializer: 63677
KindVariableDeclarationList Text: 63677
KindVariableStatement Expression: 61374
KindVariableStatement Initializer: 61374
KindVariableStatement Text: 61374
KindVoidExpression Initializer: 528
KindVoidExpression Text: 528
KindVoidKeyword Expression: 6501
KindVoidKeyword Initializer: 6501
KindVoidKeyword Text: 6501
KindWhileStatement Initializer: 700
KindWhileStatement Text: 700
KindWithStatement Initializer: 37
KindWithStatement Text: 37
KindYieldExpression Initializer: 550
KindYieldExpression Text: 550
    zz_reverse_test.go:96: reverse role mismatches:
        KindJsxNamespacedName Text: 124
        KindMetaProperty Text: 90
--- FAIL: TestZZReverseRoles (4.99s)
FAIL
FAIL	github.com/microsoft/TypeScript/tsc/internal/ast/store	5.615s
FAIL
